9986	???????????
8663	???????????
8722	???????????
8673	???????????
8730	???????????
865857	???????????
8692	???????????
9796	???????????
38415	???????????
8723	???????????
8665	00101000101
8739	10000000000
8733	???????????
7748	???????????
8731	???????????
196418	???????????
8022	???????????
111177	???????????
7962	???????????
234064	???????????
8656	???????????
46295	00110000000
8707	???????????
9031	???????????
8714	???????????
242841	???????????
111304	???????????
8756	???????????
8720	???????????
338838	???????????
10090	???????????
66186	???????????
62043	???????????
8752	???????????
8649	00101000110
13616	???????????
35005	???????????
44725	???????????
8355	???????????
9913	???????????
8717	???????????
8559	???????????
61221	???????????
66188	???????????
95648	???????????
7955	???????????
62044	???????????
29156	???????????
8668	???????????
62045	???????????
100989	???????????
9646	???????????
8694	???????????
126484	???????????
10112	???????????
52202	???????????
169847	???????????
8781	???????????
8671	???????????
8773	???????????
8613	00101101000
9823	???????????
8765	???????????
31155	???????????
54390	???????????
338839	???????????
8551	???????????
9606	???????????
120305	???????????
8729	???????????
8364	???????????
88087	???????????
88086	???????????
62052	???????????
92438	???????????
109781	???????????
672774	???????????
44722	???????????
338837	???????????
110206	???????????
9103	???????????
33626	???????????
98334	???????????
8767	???????????
42165	???????????
169840	???????????
46267	???????????
186611	???????????
62035	???????????
310520	???????????
8697	???????????
8083	???????????
9544	???????????
99586	???????????
35024	???????????
110224	???????????
9521	???????????
46577	???????????
8018	???????????
169852	???????????
8715	11000000000
242054	???????????
136040	???????????
62042	???????????
35671	???????????
169841	???????????
9483	???????????
9541	???????????
8616	???????????
8726	???????????
9601	???????????
8670	???????????
8724	???????????
10116	???????????
6183	???????????
292442	???????????
412038	00101110000
61970	???????????
28377	???????????
39682	???????????
36307	???????????
338818	???????????
40353	???????????
51750	???????????
59729	???????????
8631	???????????
8644	???????????
8709	???????????
8030	???????????
332624	???????????
103944	???????????
537493	???????????
9598	???????????
